Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,C10u,
"C10, C11",0402,2,C15p,
"C12, C13, C14, C15, C16, C17, C4, C6, C7, C8, C9",0402,11,C100n,
"C3, C5",0402,2,C1u,
D1,D_SOD-323,1,Esc,
D10,D_SOD-323,1,F9,
D11,D_SOD-323,1,F10,
D12,D_SOD-323,1,F11,
D13,D_SOD-323,1,F12,
D14,D_SOD-323,1,PrtScrn,
D15,D_SOD-323,1,Screen Lock,
D16,D_SOD-323,1,Pause,
D17,D_SOD-323,1,D,
D18,D_SOD-323,1,KEY`,
D19,D_SOD-323,1,KEY1,
D2,D_SOD-323,1,F1,
D20,D_SOD-323,1,KEY2,
D21,D_SOD-323,1,KEY3,
D22,D_SOD-323,1,KEY4,
D23,D_SOD-323,1,KEY5,
D24,D_SOD-323,1,KEY6,
D25,D_SOD-323,1,KEY7,
D26,D_SOD-323,1,KEY8,
D27,D_SOD-323,1,KEY9,
D28,D_SOD-323,1,KEY0,
D29,D_SOD-323,1,KEY-,
D3,D_SOD-323,1,F2,
D30,D_SOD-323,1,KEY=,
D31,D_SOD-323,1,BKSP,
D32,D_SOD-323,1,Ins,
D33,D_SOD-323,1,Home,
D34,D_SOD-323,1,PgUP,
D35,D_SOD-323,1,M1,
D36,D_SOD-323,1,M2,
D37,D_SOD-323,1,TAB,
D38,D_SOD-323,1,KEYQ,
D39,D_SOD-323,1,KEYW,
D4,D_SOD-323,1,F3,
D40,D_SOD-323,1,KEYE,
D41,D_SOD-323,1,KEYR,
D42,D_SOD-323,1,KEYT,
D43,D_SOD-323,1,KEYY,
D44,D_SOD-323,1,KEYU,
D45,D_SOD-323,1,KEYI,
D46,D_SOD-323,1,KEYO,
D47,D_SOD-323,1,KEYP,
D48,D_SOD-323,1,KEY[,
D49,D_SOD-323,1,KEY],
D5,D_SOD-323,1,F4,
D50,D_SOD-323,1,KEY\,
D51,D_SOD-323,1,Del,
D52,D_SOD-323,1,End,
D53,D_SOD-323,1,PgDN,
D54,D_SOD-323,1,M3,
D55,D_SOD-323,1,M4,
D56,D_SOD-323,1,CAPS,
D57,D_SOD-323,1,KEYA,
D58,D_SOD-323,1,KEYS,
D59,D_SOD-323,1,KEYD,
D6,D_SOD-323,1,F5,
D60,D_SOD-323,1,KEYF,
D61,D_SOD-323,1,KEYG,
D62,D_SOD-323,1,KEYH,
D63,D_SOD-323,1,KEYJ,
D64,D_SOD-323,1,KEYK,
D65,D_SOD-323,1,KEYL,
D66,D_SOD-323,1,KEY;,
D67,D_SOD-323,1,"KEY""",
D68,D_SOD-323,1,ENTER,
D69,D_SOD-323,1,M5,
D7,D_SOD-323,1,F6,
D70,D_SOD-323,1,M6,
D71,D_SOD-323,1,LSHIFT,
D72,D_SOD-323,1,KEYZ,
D73,D_SOD-323,1,KEYX,
D74,D_SOD-323,1,KEYC,
D75,D_SOD-323,1,KEYV,
D76,D_SOD-323,1,KEYB,
D77,D_SOD-323,1,KEYN,
D78,D_SOD-323,1,KEYM,
D79,D_SOD-323,1,"KEY,",
D8,D_SOD-323,1,F7,
D80,D_SOD-323,1,KEY.,
D81,D_SOD-323,1,KEY/,
D82,D_SOD-323,1,RSHIFT,
D83,D_SOD-323,1,Up Arrow,
D84,D_SOD-323,1,M7,
D85,D_SOD-323,1,M8,
D86,D_SOD-323,1,LCTRL,
D87,D_SOD-323,1,LWIN,
D88,D_SOD-323,1,LALT,
D89,D_SOD-323,1,SPACE,
D9,D_SOD-323,1,F8,
D90,D_SOD-323,1,RALT,
D91,D_SOD-323,1,RWIN,
D92,D_SOD-323,1,FN,
D93,D_SOD-323,1,RCTRL,
D94,D_SOD-323,1,Left Arrow,
D95,D_SOD-323,1,Down Arrow,
D96,D_SOD-323,1,Right Arrow,
D97,D_SOD-323,1,M9,
D98,D_SOD-323,1,M10,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J3,Korean Hroparts Elec - Type C 31 M 12 - 16P - USB 2.0,1,USBC,
"R1, R2",0603,2,R5.1k,
"R3, R5",0402,2,R1K,
"R4, R8",0402,2,R10K,
"R6, R7",0402,2,R27.4,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,1,RotaryEncoder_Switch,
SW10,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F8,
SW11,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F9,
SW12,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F10,
SW13,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F11,
SW14,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F12,
SW15,SW_Hotswap_Kailh_MX_Plated_1.00u,1,PrtScrn,
SW16,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Screen Lock,
SW17,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Pause,
SW18,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY`,
SW19,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY1,
SW2,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Esc,
SW20,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY2,
SW21,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY3,
SW22,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY4,
SW23,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY5,
SW24,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY6,
SW25,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY7,
SW26,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY8,
SW27,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY9,
SW28,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY0,
SW29,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY-,
SW3,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F1,
SW30,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY=,
SW31,SW_Hotswap_Kailh_MX_Plated_2.00u,1,BKSP,
SW32,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Ins,
SW33,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Home,
SW34,SW_Hotswap_Kailh_MX_Plated_1.00u,1,PgUP,
SW35,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M1,
SW36,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M2,
SW37,SW_Hotswap_Kailh_MX_Plated_1.50u,1,TAB,
SW38,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYQ,
SW39,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYW,
SW4,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F2,
SW40,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYE,
SW41,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYR,
SW42,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYT,
SW43,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYY,
SW44,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYU,
SW45,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYI,
SW46,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYO,
SW47,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYP,
SW48,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY[,
SW49,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY],
SW5,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F3,
SW50,SW_Hotswap_Kailh_MX_Plated_1.50u,1,KEY\,
SW51,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Del,
SW52,SW_Hotswap_Kailh_MX_Plated_1.00u,1,End,
SW53,SW_Hotswap_Kailh_MX_Plated_1.00u,1,PgDN,
SW54,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M3,
SW55,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M4,
SW56,SW_Hotswap_Kailh_MX_Plated_1.75u,1,CAPS,
SW57,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYA,
SW58,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYS,
SW59,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYD,
SW6,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F4,
SW60,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYF,
SW61,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYG,
SW62,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYH,
SW63,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYJ,
SW64,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYK,
SW65,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYL,
SW66,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY;,
SW67,SW_Hotswap_Kailh_MX_Plated_1.00u,1,"KEY""",
SW68,SW_Hotswap_Kailh_MX_Plated_2.25u,1,ENTER,
SW69,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M5,
SW7,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F5,
SW70,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M6,
SW71,SW_Hotswap_Kailh_MX_Plated_2.25u,1,LSHIFT,
SW72,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYZ,
SW73,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYX,
SW74,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYC,
SW75,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYV,
SW76,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYB,
SW77,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYN,
SW78,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYM,
SW79,SW_Hotswap_Kailh_MX_Plated_1.00u,1,"KEY,",
SW8,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F6,
SW80,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY.,
SW81,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY/,
SW82,SW_Hotswap_Kailh_MX_Plated_2.75u,1,RSHIFT,
SW83,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Up Arrow,
SW84,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M7,
SW85,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M8,
SW86,SW_Hotswap_Kailh_MX_Plated_1.25u,1,LCTRL,
SW87,SW_Hotswap_Kailh_MX_Plated_1.25u,1,LWIN,
SW88,SW_Hotswap_Kailh_MX_Plated_1.25u,1,LALT,
SW89,SW_Hotswap_Kailh_MX_Plated_6.25u,1,SPACE,
SW9,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F7,
SW90,SW_Hotswap_Kailh_MX_Plated_1.25u,1,RALT,
SW91,SW_Hotswap_Kailh_MX_Plated_1.25u,1,RWIN,
SW92,SW_Hotswap_Kailh_MX_Plated_1.25u,1,FN,
SW93,SW_Hotswap_Kailh_MX_Plated_1.25u,1,RCTRL,
SW94,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Left Arrow,
SW95,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Down Arrow,
SW96,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Right Arrow,
SW97,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M9,
SW98,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M10,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,USB6B1,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
