JLC,,,,,,
,PCB,27.2,,,,
,PCBA,38.8,"(probably since I’m using RP2040 bare, meaning a lot of extended components)",,,
,PLATE,6.83,,,,
,shipping,36.96,,,,
,JLC TOTAL,109.79,,,,
ALIEXPRESS,,,,,,
,[switches](https://www.aliexpress.us/item/3256802556025161.html?spm=a2g0o.productlist.main.3.5272XBJNXBJNCB&algo_pvid=733cf7a3-43e8-43cd-82f2-136f3680b36f&algo_exp_id=733cf7a3-43e8-43cd-82f2-136f3680b36f-2&pdp_ext_f=%7B%22order%22%3A%2260%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%215.97%215.77%21%21%215.97%215.77%21%402103244817494332643153371e9e82%2112000021935784957%21sea%21US%210%21ABX&curPageLogUid=iXUQrrv9lirg&utparam-url=scene%3Asearch%7Cquery_from%3A),47.67,,,cherry silver,104 count
,[keycaps]https://www.aliexpress.us/item/3256808583283524.html?spm=a2g0o.productlist.main.1.71ff517bRP8f6k&algo_pvid=5b86f0d0-7a3e-48a7-8888-0f7d0f246e88&algo_exp_id=5b86f0d0-7a3e-48a7-8888-0f7d0f246e88-0&pdp_ext_f=%7B%22order%22%3A%2249%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2120.14%2119.94%21%21%2120.14%2119.94%21%40210312d517494334827192282e9b8e%2112000046593508858%21sea%21US%210%21ABX&curPageLogUid=8ZD65B0kDTa0&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-specification,20.22,,,gradient blue,100% keyboard set
,[STABS](https://www.aliexpress.us/item/3256806342416791.html?spm=a2g0o.productlist.main.1.1f9130bdR4lI3e&algo_pvid=cf999406-4910-42b3-8749-b1a43b4eea55&algo_exp_id=cf999406-4910-42b3-8749-b1a43b4eea55-0&pdp_ext_f=%7B%22order%22%3A%22901%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%217.67%216.64%21%21%217.67%216.64%21%402103146f17502672974193867e9e69%2112000037543723482%21sea%21US%210%21ABX&curPageLogUid=G5Umy2OhrlOa&utparam-url=scene%3Asearch%7Cquery_from%3A),7.69,,,,4 2U 1 6.25U
,[ENCODER](https://www.aliexpress.us/item/3256806989461658.html?spm=a2g0o.productlist.main.1.40763a52ybtfqK&algo_pvid=e489c4d5-419f-4c6c-acc1-da98479a699d&algo_exp_id=e489c4d5-419f-4c6c-acc1-da98479a699d-19&pdp_ext_f=%7B%22order%22%3A%2218%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.42%211.22%21%21%2110.17%218.74%21%402101ea7117495175123601420e8599%2112000039705433951%21sea%21US%210%21ABX&curPageLogUid=zXx0Y2mGFKb8&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-specification),1.42,,,ec11,
,[PIN_HEADERS](https://www.aliexpress.us/item/3256804251926023.html?spm=a2g0o.productlist.main.3.6233P5h8P5h85F&algo_pvid=584f0c50-5b9e-4a9e-93a5-931e9de41a05&algo_exp_id=584f0c50-5b9e-4a9e-93a5-931e9de41a05-14&pdp_ext_f=%7B%22order%22%3A%2212%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.44%211.44%21%21%211.44%211.44%21%40210313e917496921766935236e1966%2112000029181612582%21sea%21US%210%21ABX&curPageLogUid=TUy5rYkuikyu&utparam-url=scene%3Asearch%7Cquery_from%3A),1.44,1.99,(1.99 is shipping),Uses 1x2,10 PCS
,[STANDOFFS](https://www.aliexpress.us/item/3256807676471039.html?spm=a2g0o.productlist.main.7.707337b6g0g4X3&algo_pvid=264d64cd-d181-40d5-8715-bf0f00bebe19&algo_exp_id=264d64cd-d181-40d5-8715-bf0f00bebe19-6&pdp_ext_f=%7B%22order%22%3A%2242%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%215.25%214.78%21%21%215.25%214.78%21%40210318ec17502700244453566eedb7%2112000046486253701%21sea%21US%210%21ABX&curPageLogUid=gWufiUueYrzy&utparam-url=scene%3Asearch%7Cquery_from%3A),3.94,,,6mm,100 PCS
,[SCREWS](https://www.aliexpress.us/item/3256808318392916.html?spm=a2g0o.productlist.main.9.b3bd48ab2IfbUm&algo_pvid=13938592-212d-450d-895e-c381feab57e0&algo_exp_id=13938592-212d-450d-895e-c381feab57e0-8&pdp_ext_f=%7B%22order%22%3A%22164%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.58%211.27%21%21%211.58%211.27%21%402101effb17503475022117786e4c80%2112000045477825083%21sea%21US%210%21ABX&curPageLogUid=zDcpBpa3QEWD&utparam-url=scene%3Asearch%7Cquery_from%3A),1.58,,,M3 6mm,50 PCS
,[SCREWS](https://www.aliexpress.us/item/3256808318392916.html?spm=a2g0o.productlist.main.9.b3bd48ab2IfbUm&algo_pvid=13938592-212d-450d-895e-c381feab57e0&algo_exp_id=13938592-212d-450d-895e-c381feab57e0-8&pdp_ext_f=%7B%22order%22%3A%22164%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.58%211.27%21%21%211.58%211.27%21%402101effb17503475022117786e4c80%2112000045477825083%21sea%21US%210%21ABX&curPageLogUid=zDcpBpa3QEWD&utparam-url=scene%3Asearch%7Cquery_from%3A),2.03,,,M3 12mm,50 PCS
,TOTAL,87.98,,,,
AMAZON,,,,,,
,[HOTSWAP](https://www.amazon.com/DUROCK-Mechanical-Keyboard-Switches-Hot-Swap/dp/B0B4W9YMGM?crid=2Y51HD288RY55&dib=eyJ2IjoiMSJ9.4jfJMBrnUtVfrD9ndIz5Dbi40PLToNJ99BfeLn_g7eB_ABNPZvI_Xcvj5FoM-rEzZp_zvr-HBeE7mUBm-gf11450UfCjV8KXsEJfF1trVdJL-xN9e6SvQqTDC5ccrEOQBiLsyrZ60dv400_XJG4TSNYdgsDcZObeIaZqZ1iRnndZd8XOcbHfX0cLM8CZALM-87yads8R6P6ZWO3rt93f3eIpi1l0SAIedWHgRYZ3cd8.GZ2YWH9UQ05T6cp9X6nW72pieisquQSfZQdeXucPvUs&dib_tag=se&keywords=kailh%2Bhotswap%2Bsockets&qid=1750200309&sprefix=kailh%2Bhotswap%2Bsockets%2Caps%2C105&sr=8-2&th=1),13.99,,,,110 PCS
,[SUPERGLUE](https://www.amazon.com/Gorilla-Precise-Cyanoacrylate-Dispensing-Anti-Clog/dp/B0CTHY7QTY?dib=eyJ2IjoiMSJ9.Q4-rAGH-WPxehn7bUaoCtTn4ErkLJTpapdZhqoeQ3QKPMIwnKV7e-dk9gpy2BTVKfSUGdYRXyUYId4LrDstjGzpB2XGaySqGIPa5Fr3kYPj1MEQy7LU_S_o4ev5czntTbWjaWLQ1oOA__pfkGe_MkcBUrBlmX3fAEXi946bzDs59lJR7zeHsquGZJy_OKDkg3cAvASGn-3HmyE4mmz5iHx-BY_s5k53fhMzjUJ0pRhdFaVGtK-49tMIoh3l8bf1aVlTuQyvAw6BlbiINuEHlVxIUpJEeEG-sDgFDA0dUI0s.tMODLEMY78Z_mUireK0slXhelmkJkBgJvyJ1t1Cr464&dib_tag=se&keywords=5.5%2Bg%2BSuper%2BGlue%2BMicro%2BPrecise%2BGel&qid=1750527141&s=office-products&sr=1-1&th=1),7.49,,,,
,TOTAL,21.48,,,,
SHIPPING (for Printing Legion),,,,,,
,SHIPPING,20,"(at most, just an estimate)",,,
,TOTAL,20,,,,
,,,,,,
TOTAL PRICE,239.25,,,,,
